Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.00526E-3,9.249517241,0.308186785,0.009618245,0.058823529,0
3.2367E-3,9.573187257,0.324225859,0.009519088,0.058823529,0
3.26436E-3,9.89962375,0.326093408,0.009419931,0.058823529,0
3.67686E-3,10.267309953,0.352763659,0.009320773,0.058823529,0
3.81101E-3,10.648411065,0.360988041,0.009221616,0.058823529,0
4.02045E-3,11.050455616,0.373418247,0.009122459,0.058823529,0
4.18867E-3,11.469322524,0.383057707,0.009023302,0.058823529,0
4.22947E-3,11.892269896,0.385351344,0.008924145,0.058823529,0
4.35395E-3,12.32766447,0.392243764,0.008824988,0.058823529,0
4.63607E-3,12.791271931,0.407308085,0.00872583,0.058823529,0
5.00049E-3,13.291320876,0.425695099,0.008626673,0.070588235,0
5.28266E-3,13.819586649,0.439166969,0.008527516,0.070588235,0
5.40753E-3,14.360339891,0.444929323,0.008428359,0.070588235,0
5.74852E-3,14.93519151,0.460077387,0.008329202,0.070588235,0
5.78889E-3,15.514080637,0.461816464,0.008230045,0.082352941,0
5.83575E-3,16.097655665,0.46382083,0.008130887,0.094117647,0
6.12423E-3,16.71007821,0.475838685,0.00803173,0.105882353,0
6.14001E-3,17.324079169,0.476480725,0.007932573,0.117647059,0
7.20375E-3,18.658454868,0.516401234,0.007734259,0.141176471,0
8.30459E-3,19.488913516,0.55177254,0.007635102,0.141176471,0
8.31696E-3,20.320609242,0.552140653,0.007535944,0.152941176,0
8.31696E-3,21.152304969,0.552140653,0.00733763,0.152941176,0
8.37245E-3,21.989549636,0.553784419,0.00733763,0.176470588,0
8.61656E-3,22.851205631,0.560874776,0.007238473,0.188235294,0
8.95966E-3,23.747171549,0.570467626,0.007139316,0.2,0
9.07761E-3,24.654932531,0.573669369,0.007040159,0.211764706,0
9.07761E-3,25.562693514,0.573669369,0.006841844,0.211764706,0
9.13107E-3,26.475800261,0.575104798,0.006841844,0.235294118,0
9.24174E-3,27.399973887,0.578045938,0.006742687,0.247058824,0
9.24174E-3,28.324147512,0.578045938,0.006544373,0.247058824,0
9.24309E-3,29.248456453,0.578081648,0.006544373,0.270588235,0
9.27018E-3,30.175474692,0.578795358,0.006445216,0.282352941,0
9.44071E-3,31.119545278,0.583232616,0.006346059,0.294117647,0
9.44071E-3,32.063615864,0.583232616,0.006147744,0.294117647,0
9.52474E-3,33.016089824,0.58538508,0.006147744,0.317647059,0
9.53232E-3,33.969321666,0.585578113,0.006048587,0.317647059,0
9.7198E-3,34.941301336,0.590296644,0.00594943,0.317647059,0
9.77739E-3,35.919040066,0.59172461,0.005850273,0.329411765,0
9.8704E-3,36.906079796,0.594009903,0.005751116,0.341176471,0
9.89996E-3,37.896076224,0.594731026,0.005651958,0.352941176,0
9.98363E-3,38.894439282,0.596757792,0.005552801,0.364705882,0
1.04493E-2,39.939366356,0.60767731,0.005453644,0.376470588,0
1.05166E-2,40.991025431,0.609207261,0.005354487,0.388235294,0
1.06183E-2,42.052854297,0.611496007,0.00525533,0.4,0
1.06399E-2,43.116842068,0.611978431,0.005156173,0.411764706,0
1.06684E-2,44.18368567,0.61261475,0.005057015,0.423529412,0
1.06684E-2,46.317372875,0.61261475,0.004759544,0.423529412,0
1.07057E-2,47.387944513,0.613442275,0.004759544,0.458823529,0
1.07431E-2,48.462257215,0.614269146,0.004660387,0.470588235,0
1.07474E-2,49.536997211,0.614363364,0.00456123,0.482352941,0
1.07649E-2,50.613488945,0.614749139,0.004462072,0.494117647,0
1.07791E-2,51.69139534,0.615060119,0.004362915,0.505882353,0
1.08124E-2,52.772631589,0.615790131,0.004263758,0.517647059,0
1.08312E-2,54.936983291,0.616200893,0.004065444,0.541176471,0
1.08405E-2,56.021032542,0.616404679,0.003966287,0.541176471,0
1.0874E-2,57.108430624,0.617133729,0.003867129,0.552941176,0
1.08784E-2,58.196268035,0.617229166,0.003767972,0.564705882,0
1.08881E-2,59.285074149,0.617439434,0.003668815,0.576470588,0
1.0948E-2,61.468679561,0.618735205,0.003470501,0.6,0
1.09599E-2,62.564665737,0.618990776,0.003371344,0.611764706,0
