Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.52969E-4,25.517047634,0.371697364,0.06287485,0,0
4.58398E-4,25.790430145,0.374484305,0.06227509,0,0
4.63822E-4,26.021324606,0.377243642,0.06177529,0,0
4.68147E-4,26.25453472,0.379426472,0.06127549,0,0
4.72212E-4,26.537012647,0.381464252,0.06067573,0,0
4.75776E-4,26.774006572,0.3832399,0.06017593,0,0
4.78033E-4,27.012476979,0.384359493,0.05967613,0,0
4.82109E-4,27.252586109,0.386370206,0.059176329,0,0
4.84722E-4,27.542772084,0.387652663,0.058576569,0,0
4.89429E-4,27.78663961,0.389949399,0.058076769,0,0
4.9491E-4,28.032631804,0.392601551,0.057576969,0,0
4.98738E-4,28.28120444,0.394440409,0.057077169,0,0
5.02414E-4,28.531766483,0.396196127,0.056577369,0,0
5.07793E-4,28.78443373,0.398746476,0.056077569,0,0
5.13283E-4,29.040386493,0.401327151,0.055577769,0,0
5.16112E-4,29.298041915,0.402648515,0.055077969,0,0
5.24418E-4,29.506354334,0.406494534,0.054678129,0,0
5.29011E-4,29.769457485,0.408599955,0.054178329,0,0
5.40776E-4,30.039027718,0.413925521,0.053678529,0,0
5.52639E-4,30.258029501,0.419199745,0.053278689,0,0
5.58548E-4,30.53620293,0.421791358,0.052778888,0,0
5.64541E-4,30.761476775,0.424395983,0.052379048,0,0
5.7117E-4,31.04611758,0.427250621,0.051879248,0,0
5.7414E-4,31.275152318,0.428519909,0.051479408,0,0
5.80187E-4,31.506132327,0.431087777,0.051079568,0,0
5.91297E-4,31.799595634,0.43574547,0.050579768,0,0
5.99823E-4,32.038744222,0.439268805,0.050179928,0,0
6.03285E-4,32.279363973,0.440686882,0.049780088,0,0
6.09989E-4,32.52248126,0.443412297,0.049380248,0,0
6.12244E-4,32.766893069,0.444323317,0.048980408,0,0
6.1929E-4,33.013075004,0.447150445,0.048580568,0,0
6.25079E-4,33.262013246,0.449451337,0.048180728,0,0
