Nombre,Longitud,Latitud
3Grwc5uTlO-1,-62.09188479728056,-36.535163731484325
3GwWcSnMwj-1,-62.097229747348,-36.56112659488223
3hA8bmoDfb-1,-61.99772976755281,-36.71370453479388
3hA8bmoDfb-2,-61.9873847676426,-36.71901155470452
3hA8bmoDfb-3,-61.9873228947349,-36.72162554479866
3hA8bmoDfb-4,-61.98734619009316,-36.72488854038316
3hA8bmoDfb-5,-61.98978883158654,-36.72552591809292
3hA8bmoDfb-6,-61.99137812499999,-36.71846610000001
3hA8bmoDfb-7,-61.99144828124756,-36.71872239062563
3hA8bmoDfb-8,-61.991892333333325,-36.71842866666666
3I3uhDlQqF-1,-62.25800882483091,-36.62308861037984
3I3uhDlQqF-2,-62.2479945,-36.6224955
3I3uhDlQqF-3,-62.24846466666665,-36.622133
3jiEUphzXU-1,-62.12916448728245,-36.42235379653039
3Kjd31lTmn-1,-62.10192188521592,-36.48448541518964
3mW3SshtEZ-1,-62.15251589086642,-36.542458344165695
3mW3SshtEZ-2,-62.14886652335599,-36.53514993931135
3PG8cmDLMJ-1,-62.07841005085077,-36.506720205380105
3PG8cmDLMJ-2,-62.131830747197924,-36.483710896388594
3PjJsQWA9G-1,-62.17869571305399,-36.34713546452443
3rNftTI6jN-1,-62.04109023791871,-36.543421243298326
3rUYYf79vu-1,-62.19040508341015,-36.45354548341481
3syLUspKWV-1,-62.15020812808251,-36.514970181705785
3WQZjGwmqT-1,-62.01153853154221,-36.51460361299576
3WRaiX8JES-1,-61.97997057227061,-36.572179020740144
3yeiS9LLda-1,-62.17348954483326,-36.454739722199584
3ZL9ax8JQQ-1,-62.050929554228624,-36.50228859822682
41GqJ9mahF-1,-62.10936473503947,-36.494717236203286
45MIjrWCcv-1,-61.770464440873724,-36.63697455898986
48CoCrWh4T-1,-62.087944206114294,-36.57692563711718
48CoCrWh4T-2,-62.0837468172173,-36.56941776641569
4aJILQxvrc-1,-62.065527896761,-36.49931030103955
4evAfAiWWO-1,-62.1402733585677,-36.46376315567381
4Ibwugg4I3-1,-62.050872009808344,-36.54595745007903
4n4J6XYmDx-1,-62.101891725772354,-36.4844916416033
4P4XXnyVlg-1,-62.15423499024047,-36.51809846316134
4qC5iHzuhF-1,-62.11945357172491,-36.444374467445144
4QLBvLuAfR-1,-62.09910828641084,-36.42713508467696
4tlf51DDZb-1,-62.17464330618199,-36.40011503504625
4ulWN6cp5s-1,-62.11708044037894,-36.446456617483626
4VGAdHiPxI-1,-62.08515604948827,-36.53061878737562
4Xi95fWDZg-1,-62.078325055338304,-36.50672485370973
4XW65fqOR5-1,-62.103489533787474,-36.53735970097594
4ZpfUfcsRz-1,-62.18522663885561,-36.345724137363625
55TvsUjDR3-1,-62.154889774837905,-36.53906461124063
56ZenYY7r6-1,-62.079503874136,-36.54789577958299
